               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031535,           0.0077527,           0.0064194,             0.93032,             0.94689,              0.9671,              0.6391,            0.030057,            0.008758,           0.0074167,            0.008317,            0.008317,            0.008317
                  36,            0.031433,           0.0075941,           0.0064196,             0.93517,             0.91771,             0.96092,             0.63663,            0.029775,           0.0087546,           0.0081605,           0.0082675,           0.0082675,           0.0082675
                  37,            0.031158,           0.0077327,           0.0064325,             0.94212,             0.92273,             0.96338,             0.64439,            0.029876,            0.008677,           0.0077156,            0.008218,            0.008218,            0.008218
                  38,            0.030995,           0.0075727,           0.0061782,             0.92794,               0.942,             0.96537,             0.64643,             0.02959,           0.0086909,           0.0076808,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030944,           0.0076434,           0.0063492,             0.95989,             0.91191,             0.96502,               0.649,            0.029759,           0.0087165,           0.0077087,            0.008119,            0.008119,            0.008119
                  40,            0.031004,           0.0076642,           0.0060196,             0.95284,             0.90684,             0.96807,             0.65016,            0.029497,           0.0086801,           0.0074935,           0.0080695,           0.0080695,           0.0080695
                  41,            0.030919,           0.0076785,           0.0060018,             0.93348,             0.91974,             0.96401,             0.64967,            0.029366,           0.0086461,           0.0080631,             0.00802,             0.00802,             0.00802
                  42,            0.030859,           0.0076813,           0.0059694,             0.93334,             0.93373,             0.95929,             0.64496,            0.029458,           0.0087243,           0.0081124,           0.0079705,           0.0079705,           0.0079705
                  43,            0.030752,           0.0076776,           0.0062069,             0.94844,             0.92245,             0.96176,             0.64414,            0.029565,           0.0086749,           0.0076325,            0.007921,            0.007921,            0.007921
                  44,             0.03071,           0.0076787,           0.0058929,             0.95584,             0.92211,             0.96587,             0.64793,            0.029213,           0.0086261,           0.0072267,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030475,            0.007603,           0.0058615,             0.95211,             0.93366,             0.96782,             0.64702,            0.029296,           0.0086283,            0.007048,            0.007822,            0.007822,            0.007822
                  46,            0.030335,           0.0077315,           0.0057788,             0.96097,             0.92177,             0.96529,             0.64916,            0.029305,           0.0086087,           0.0074704,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030361,           0.0076452,           0.0059065,             0.93792,             0.94719,             0.96925,             0.65176,            0.029298,           0.0086012,           0.0070468,            0.007723,            0.007723,            0.007723
                  48,            0.030302,           0.0077191,           0.0059168,             0.93557,             0.94372,             0.96767,             0.64953,            0.029307,           0.0086333,           0.0070844,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030312,           0.0074936,           0.0060793,              0.9459,             0.93187,             0.96758,             0.64881,            0.029253,           0.0086502,           0.0071147,            0.007624,            0.007624,            0.007624
                  50,            0.030281,           0.0074998,            0.005819,             0.94697,             0.93118,             0.96795,             0.65325,            0.029148,           0.0086218,           0.0070943,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030138,           0.0075365,           0.0056373,             0.94544,             0.93145,             0.96742,             0.65258,            0.029173,           0.0086496,           0.0073727,            0.007525,            0.007525,            0.007525
                  52,            0.030146,           0.0075589,           0.0058612,             0.94047,             0.92752,             0.96586,             0.65595,            0.029077,           0.0086137,           0.0075218,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02986,           0.0074989,           0.0055687,             0.94107,             0.92599,             0.96544,             0.65488,            0.029057,           0.0086089,           0.0075526,            0.007426,            0.007426,            0.007426
                  54,              0.0299,           0.0076326,           0.0055989,             0.93011,             0.94124,             0.96619,             0.65378,            0.029109,           0.0086066,            0.007366,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030031,            0.007555,            0.005728,             0.93785,             0.94106,             0.96786,             0.65457,            0.029008,              0.0086,           0.0071417,            0.007327,            0.007327,            0.007327
